Database Source	Sequence ID	Plasmid name	Strain of origin	Sequence length
NCBI	NZ_CP017083.1	pT211	Proteus mirabilis strain T21	24573
NCBI	NZ_CP023162.1	unnamed3	Xanthomonas citri subsp. malvacearum strain MS14003	15502
NCBI	NZ_CP019751.1	pl12113-1	Lactobacillus brevis strain TMW 1.2113	41682
NCBI	NZ_CP006757.1	pCD	Yersinia pestis 1522	72530
NCBI	NZ_CP012016.1	pGv51	Staphylococcus aureus subsp. aureus strain Gv51	2946
NCBI	NZ_CP019166.1	pLM5578	Listeria monocytogenes strain HPB5415	78208
NCBI	NZ_AGBZ02000006.1	pSme2	Spiroplasma melliferum KC3	14671
NCBI	NZ_CP004007.1	Unknown	Legionella oakridgensis ATCC 33761 = DSM 21215	50964
NCBI	NZ_CP007123.1	Unknown	Lactobacillus paracasei N1115	3889
NCBI	NZ_LT605060.1	2	Acinetobacter calcoaceticus strain NCTC7364 genome assembly,	151085
NCBI	NZ_CP008877.1	pT1	Terribacillus aidingensis strain MP602	89704
NCBI	NC_021492.1	pENT01	Enterobacter sp. R4-368	117666
NCBI	NC_020817.1	pXcaw58	Xanthomonas citri subsp. citri Aw12879	59152
NCBI	NC_013224.1	pDRET01	Desulfohalobium retbaense DSM 5692	45911
NCBI	NC_002490.1	pXF51	Xylella fastidiosa 9a5c	51890
NCBI	NZ_CP010193.1	B	Escherichia coli strain M8	41165
NCBI	NZ_CP013499.1	pRspN621d	Rhizobium sp. N621	753108
NCBI	NC_013655.1	pECSF1	Escherichia coli SE15	124094
NCBI	NZ_CP022456.1	unnamed1	Shigella sonnei strain 2015C-3794	89017
NCBI	NC_001571.1	Varkud	Neurospora intermedia mitochondrial	3729
NCBI	NC_011857.1	PBr_lp36	Borrelia garinii PBr	37235
NCBI	NZ_CP021809.1	psymA	Sinorhizobium meliloti strain Rm41	1571732
NCBI	NC_017298.1	pCBF	Clostridium botulinum F str. 230613	17783
NCBI	NC_002524.1	pIE1115	Uncultured eubacterium pIE1115	10841
NCBI	NC_021159.1	pAhy2.5	Aeromonas hydrophila	2562
NCBI	NC_012507.1	29805_lp28-3	Borrelia burgdorferi 29805	31497
NCBI	NZ_CP020447.1	unnamed7	Paracoccus yeei strain FDAARGOS_252	150370
NCBI	NZ_CP016031.1	Unknown	Legionella pneumophila strain OLDA	131741
NCBI	NZ_CP010156.1	D	Escherichia coli strain D9	4667
NCBI	NZ_CM007611.1	unnamed2	Escherichia coli strain 256	107847
NCBI	NC_014016.1	pKpQIL	Klebsiella pneumoniae	115262
NCBI	NC_020987.1	pSotonE4	Chlamydia trachomatis E/SotonE4	7611
NCBI	NC_004854.1	pREAT701	Rhodococcus equi ATCC33701	81763
NCBI	NZ_LN890523.1	2	Salmonella enterica subsp. enterica serovar Weltevreden genome assembly 98_11262,	83294
NCBI	NZ_CM003742.1	unnamed	Acinetobacter baumannii strain MEX11594	4502
NCBI	NC_021836.1	PEI2	Edwardsiella ictaluri strain HSN-1	5726
NCBI	NZ_CP019032.1	pSNU175-3	Lactobacillus fermentum strain SNUV175	33545
NCBI	NZ_CP013818.1	p2PS10	Piscirickettsia salmonis strain AY3800B	34037
NCBI	NZ_AP014868.1	pKK4	Bacillus thuringiensis serovar tolworthi	55133
NCBI	NZ_CP010864.1	pMaD9	Marinovum algicola DG 898	100036
NCBI	NZ_CP007134.1	pRM12761	Escherichia coli O145:H28 str. RM12761	59506
NCBI	NC_015667.1	pHALXA02	Halopiger xanaduensis SH-6	184376
NCBI	NC_014478.1	unnamed	Klebsiella pneumoniae	8305
NCBI	NZ_CP013017.1	pDSK1	Leuconostoc mesenteroides subsp. mesenteroides strain DRC0211	59987
NCBI	NZ_CP021649.1	p1-T1	Acidovorax sp. T1	185678
NCBI	NC_017789.1	clone	Borrelia crocidurae str. Achema	3183
NCBI	NZ_AKBU01000004.1	B	Rhodobacter sphaeroides 2.4.1	115811
NCBI	NZ_CP021787.1	pA85-3	Acinetobacter baumannii strain A85	87569
NCBI	NZ_CP010881.1	pMNCRE44_5	Escherichia coli strain MNCRE44	118473
NCBI	NZ_CP020810.1	unnamed1	Mycobacterium dioxanotrophicus strain PH-06	157822
NCBI	NZ_CM003134.1	pA6981	Enterococcus gallinarum strain A6981	36118
NCBI	NZ_CM001063.1	pSCV50	Salmonella enterica subsp. enterica serovar Choleraesuis str. SCSA50 strain A50	50267
NCBI	NZ_CP014887.1	pL11991-6	Lactobacillus backii strain TMW 1.1991	22725
NCBI	NZ_CM007790.1	p_IncFII	Escherichia coli O157:H7 strain LEN02-9121-1	9518
NCBI	NZ_AP014826.1	pGM3709_05	Geminocystis sp. NIES-3709	32940
NCBI	NC_025000.1	pNDM-Iz4b	Acinetobacter lwoffii strain Iz4b	47237
NCBI	NC_005570.1	p29807	Yersinia enterocolitica 29807	2722
NCBI	NC_005917.1	pAL202	Helicobacter pylori	12295
NCBI	NC_019229.1	pRF	Rickettsia felis	63782
NCBI	NZ_CP023002.1	pX01	Bacillus anthracis strain 14RA5914	200961
NCBI	NC_011996.1	pMCCL2	Macrococcus caseolyticus JCSC5402	81697
NCBI	NZ_CP015007.1	pAA02	Aminobacter aminovorans strain KCTC 2477	457999
NCBI	NZ_CP011481.1	Unknown	Hoeflea sp. IMCC20628	125185
NCBI	NZ_CP009446.1	pFPK_1	Francisella philomiragia strain GA01-2801	8932
NCBI	NC_017181.1	pZMOB03	Zymomonas mobilis subsp. mobilis ATCC 10988	32146
NCBI	NZ_CP015297.1	CtrE-160_plasmid	Chlamydia trachomatis strain E-160	7611
NCBI	NC_001988.2	pSOL1	Clostridium acetobutylicum ATCC 824	194744
NCBI	NZ_CP017360.1	pL125-6	Lactobacillus plantarum strain TMW 1.25	3590
NCBI	NZ_CP018733.1	pICMP7383.2	Xanthomonas gardneri strain ICMP7383	62725
NCBI	NZ_CP014769.1	unnamed1	Hymenobacter sp. PAMC 26554	202848
NCBI	NC_002060.1	pMA1	Microcystis aeruginosa small	2321
NCBI	NC_010542.1	C	Cyanothece sp. ATCC 51142	14896
NCBI	NC_008567.1	lp32	Borrelia afzelii PKo	32832
NCBI	NC_017077.1	pSRC7	Selenomonas ruminantium subsp. lactilytica TAM6421	30208
NCBI	NC_012235.1	94a_lp28-4	Borrelia burgdorferi 94a	28440
NCBI	NZ_AP014645.1	pLBY	Leptolyngbya boryana dg5	45004
NCBI	NZ_CP016508.1	pSH12-003_2	Salmonella enterica subsp. enterica serovar Heidelberg strain SH12-003	2127
NCBI	NZ_CP015601.1	pP27494_1	Pseudomonas antarctica strain PAMC 27494	137412
NCBI	NZ_CP022240.1	unnamed4	Exiguobacterium oxidotolerans strain N4-1P	5578
NCBI	NZ_CP010390.1	p6234-198.371kb	Klebsiella pneumoniae strain 6234	201206
NCBI	NZ_CP012124.1	LZ95p2	Lactobacillus plantarum strain LZ95	12664
NCBI	NC_010998.1	pA	Rhizobium etli CIAT 652	420007
NCBI	NC_024972.1	pLMA1	Micrococcus sp. A1	110672
NCBI	NZ_AP014829.1	pGM3709_08	Geminocystis sp. NIES-3709	11088
NCBI	NC_011148.1	Unknown	Salmonella enterica subsp. enterica serovar Agona str. SL483	38522
NCBI	NZ_CP013332.1	unnamed1	Fusobacterium hwasookii ChDC F174	53194
NCBI	NC_011737.1	pP742402	Cyanothece sp. PCC 7424	200531
NCBI	NZ_CP009670.1	lp28-4	Borreliella burgdorferi strain B31	27712
NCBI	NZ_CP014648.1	pKPN-821	Klebsiella pneumoniae strain KPNIH36	41027
NCBI	NZ_CP007752.1	pTet-D42a	Campylobacter jejuni subsp. jejuni D42a	47431
NCBI	NC_019367.1	pMARC5	Paracoccus marcusii	36467
NCBI	NZ_CP015745.1	pShin-09	Shinella sp. HZN7	129491
NCBI	NZ_AP014801.1	Plasmid1	Rhodovulum sulfidophilum	112898
NCBI	NZ_CP011520.2	pPO70-3	Pandoraea oxalativorans strain DSM 23570	76182
NCBI	NZ_CP012654.1	pMK10	Lactobacillus plantarum strain HFC8	3925
NCBI	NZ_CP009980.1	unnamed1	Bacillus anthracis strain Ames	184271
NCBI	NC_008597.1	pVI678	Escherichia coli	6312
NCBI	NZ_CP021737.1	tig00000255	Escherichia coli strain AR_0150	119386
NCBI	NZ_CP012386.1	unnamed	Enterococcus durans strain KLDS 6.0930	42080
NCBI	NZ_CP010233.1	B	Escherichia coli strain S30	138005
NCBI	NZ_LN868945.1	3	Salmonella enterica subsp. enterica serovar Senftenberg genome assembly NCTC10384,	149900
NCBI	NZ_CP019487.1	pSym	Sinorhizobium meliloti strain B399	1596479
NCBI	NZ_CP018750.1	cp26	Borreliella garinii strain CIP 103362	27426
NCBI	NZ_CP017268.1	pTB1	Vagococcus teuberi strain DSM21459T	15444
NCBI	NZ_CP017140.1	lp72	Borrelia miyamotoi strain CT13-2396	73353
NCBI	NZ_CM003320.1	pMRSN3405-6	Acinetobacter baumannii MRSN 3405	6166
NCBI	NZ_CP017579.1	Unknown	Sphingomonas melonis TY	40856
NCBI	NZ_CP014677.1	pKB14400_3	Kozakia baliensis strain DSM 14400	179521
NCBI	NC_001380.1	pLS1	Streptococcus agalactiae	4472
NCBI	NZ_CP023354.1	p62	Escherichia coli strain 746	63204
NCBI	NZ_CP013143.1	pZD02	Alcaligenes faecalis strain ZD02	15143
NCBI	NC_008763.1	pPNAP07	Polaromonas naphthalenivorans CJ2	10041
NCBI	NC_014731.1	pHBOR02	Halogeometricum borinquense DSM 11551	343854
NCBI	NZ_CP017439.1	pO157	Escherichia coli O157:H7 strain 2159	93920
NCBI	NZ_CM003345.1	p2K25	Clostridium sp. K25	43554
NCBI	NZ_CP021062.1	poh1	Bacillus thuringiensis strain ATCC 10792	592976
NCBI	NC_002638.1	pKDSC50	Salmonella enterica enterica sv Choleraesuis RF-1	50212
NCBI	NZ_CP019006.1	pECAZ159_2	Escherichia coli strain Ecol_AZ159	48212
NCBI	NZ_AP014865.1	pKK1	Bacillus thuringiensis serovar tolworthi	443702
NCBI	NZ_CP014001.1	unnamed3	Synechococcus sp. PCC 73109	38761
NCBI	NC_010555.1	Unknown	Proteus mirabilis pHI4320	36809
NCBI	NC_005232.1	pSYSX	Synechocystis sp. PCC 6803	107520
NCBI	NZ_LT599051.1	pA12-2	Lactococcus lactis subsp. lactis strain A12 genome assembly,	9237
NCBI	NC_004990.1	pUH24	Synechococcus elongatus PCC 7942	7948
NCBI	NC_019177.1	pB1000'	Haemophilus influenzae	4566
NCBI	NZ_CP012477.1	unnamed2	Arthrobacter sp. ERGS1:01	764968
NCBI	NC_025168.1	AbATCC329	Acinetobacter baumannii strain ATCC 329	8970
NCBI	NZ_CP013109.1	B	Sinorhizobium americanum strain CFNEI 73	594906
NCBI	NC_018582.1	pGKT1	Gordonia sp. KTR9	90760
NCBI	NC_019232.1	pK2007C6	Streptococcus thermophilus	3024
NCBI	NZ_AMRX01000008.1	pG7	Gayadomonas joobiniege G7	780518
NCBI	NC_013858.1	pAB510d	Azospirillum sp. B510	637822
NCBI	NC_013285.1	pCTU3	Cronobacter turicensis z3032	54613
NCBI	NZ_CP009330.1	1	Bacillus anthracis strain K3	184054
NCBI	NZ_CP010074.1	pCj2	Campylobacter jejuni subsp. jejuni strain 01-1512	37128
NCBI	NZ_LT571451.1	3	Staphylococcus epidermidis isolate BPH0662 genome assembly,	2401
NCBI	NC_003125.1	pTYM1	Actinobacillus pleuropneumoniae	4304
NCBI	NZ_CP013521.1	pRspN113d	Rhizobium sp. N113	766394
NCBI	NC_021908.1	pRetMIM1d	Rhizobium etli bv. mimosae str. Mim1	519371
NCBI	NC_005297.1	pRPA	Rhodopseudomonas palustris CGA009	8549
NCBI	NZ_CP016088.1	Unknown	Clostridium saccharoperbutylacetonicum strain N1-504	2979
NCBI	NZ_CP012478.1	unnamed1	Arthrobacter sp. ERGS1:01	154352
NCBI	NC_016115.1	pSFLA02	Streptomyces pratensis ATCC 33331	131914
NCBI	NZ_CP015273.1	unnamed	Mycobacterium chimaera strain ZUERICH-1	98658
NCBI	NC_022587.1	1	Lactococcus lactis subsp. lactis KLDS 4.0325	4154
NCBI	NC_021574.1	pLP5403	Lactobacillus paracasei	1815
NCBI	NC_002576.1	p103	Rhodococcus equi 103	81762
NCBI	NC_010115.1	QpH1	Coxiella burnetii RSA 331	37852
NCBI	NZ_CP016441.1	unnamed1	Bordetella pseudohinzii strain HI4681	69500
NCBI	NZ_CP019845.1	cp26	Borreliella burgdorferi	26878
NCBI	NZ_CP014814.1	sequence	Borrelia hermsii strain DAH-2E7	20445
NCBI	NZ_CP021180.1	pEC-81009	Escherichia coli strain 81009	137660
NCBI	NZ_CM001851.1	pL2Pa6276	Pectobacterium atrosepticum CFBP 6276	2727
NCBI	NC_010427.1	pKH15	Staphylococcus aureus	2950
NCBI	NZ_CP021897.1	unitig_2_pilon	Enterobacter cloacae strain AR_0050	114105
NCBI	NZ_CM001896.1	unnamed-p6	Xanthomonas campestris pv. campestris str. CN15	1245
NCBI	NC_016971.1	pGL4	Lactococcus garvieae 21881	14208
NCBI	NZ_CP018690.1	pKp_Goe_473-3	Klebsiella pneumoniae strain Kp_Goe_149473	64499
NCBI	NZ_CP012880.1	pMKC07	Weissella cibaria strain CH2	2903
NCBI	NZ_CP021678.1	pBL027-1	Bacillus licheniformis strain SRCM100027	102055
NCBI	NZ_CP007126.1	Unknown	Lactobacillus paracasei N1115	8882
NCBI	NZ_CM007714.1	pMCRpoa	Escherichia coli strain 3431F	33991
NCBI	NZ_CP017847.1	pEcoFMU073332c	Escherichia coli strain FMU073332	114964
NCBI	NC_008226.1	pCD630	Clostridioides difficile 630	7995
NCBI	NZ_CP014009.1	pRJF293	Klebsiella pneumoniae subsp. pneumoniae strain RJF293	227468
NCBI	NZ_CP013764.1	p2PS2	Piscirickettsia salmonis strain PM21567A	83300
NCBI	NC_021594.1	p75	Serratia plymuthica 4Rx13	76804
NCBI	NZ_CP018365.1	pKp_Goe_629-1	Klebsiella pneumoniae strain Kp_Goe_62629	264499
NCBI	NZ_CP019744.1	pl12111-1	Lactobacillus brevis strain TMW 1.2111	108557
NCBI	NZ_CM001370.1	pFW10102	Desulfovibrio sp. FW1012B	21414
NCBI	NC_004444.1	pCAR1	Pseudomonas resinovorans	201880
NCBI	NZ_CP015616.1	p1AsACE	Acinetobacter schindleri strain ACE	182026
NCBI	NC_013417.1	pTSC2	Streptomyces sp. x3	7625
NCBI	NZ_CP021755.1	unitig_4	Klebsiella pneumoniae strain AR_0113	46395
NCBI	NC_019203.1	pHW42	Rahnella sp. WMR42	4176
NCBI	NC_010656.1	pBS512_2	Shigella boydii CDC 3083-94	2120
NCBI	NC_010903.1	pTJ86-2	Cupriavidus taiwanensis	2262
NCBI	NZ_CP007624.1	Unknown	Bacillus mycoides strain 219298	142701
NCBI	NC_015917.1	lp28-4	Borreliella bissettii DN127	27711
NCBI	NZ_CP018978.1	pEC656_1	Escherichia coli strain Ecol_656	119529
NCBI	NZ_CP007143.1	pHsw2	Hymenobacter swuensis DY53	42157
NCBI	NZ_CP008996.1	pXAC33	Xanthomonas citri subsp. citri strain MN12	34186
NCBI	NC_010888.1	pNL15	Neisseria lactamica isolate 811778	2282
NCBI	NC_019354.1	pHDC-I-1	Tetragenococcus muriaticus	21668
NCBI	NC_014104.1	pBSG3	Bacillus amyloliquefaciens	8561
NCBI	NC_017637.1	pRK1	Escherichia coli W	104002
NCBI	NZ_CP016173.1	unnamed1	Bordetella flabilis strain AU10664	120287
NCBI	NC_012263.1	94a_cp26	Borrelia burgdorferi 94a	26887
NCBI	NZ_CP014820.1	sequence	Borrelia hermsii strain DAH-2E7	5333
NCBI	NZ_CP015094.1	pPABY6	Pelagibaca abyssi strain JLT2014	65111
NCBI	NZ_CP021363.1	pACP3.1	Acidovorax sp. P3	261772
NCBI	NZ_CP009021.1	pXAC64	Xanthomonas citri subsp. citri strain FB19	65849
NCBI	NC_011882.1	pP742503	Cyanothece sp. PCC 7425	35224
NCBI	NZ_CM008136.1	pXO2	Bacillus anthracis strain DS201579	96356
NCBI	NC_012109.1	pHRM2a	Desulfobacterium autotrophicum HRM2	69692
NCBI	NC_021524.1	pCGH69	Morganella morganii strain CGH69	2723
NCBI	NC_017032.1	AUS0004_p1	Enterococcus faecium Aus0004	57329
NCBI	NZ_LT598668.1	6	Enterococcus faecium isolate Ef_aus00233 genome assembly,	7950
NCBI	NZ_CM007784.1	unnamed	Staphylococcus warneri strain MMP1	5018
NCBI	NZ_CP016409.1	pFSIS1502916	Salmonella enterica subsp. enterica serovar Infantis strain FSIS1502916	327127
NCBI	NZ_CP020074.1	tig00000004	Klebsiella pneumoniae strain AR_0115	44001
NCBI	NC_013509.1	pEIB202	Edwardsiella tarda EIB202	44329
NCBI	NC_022577.1	pPL373	Paenibacillus larvae	5103
NCBI	NZ_CP009835.1	pCD	Yersinia pestis strain KIM5	72020
NCBI	NZ_CP012469.1	ISMMS_VRE8_p4	Enterococcus faecium strain ISMMS_VRE_8	49944
NCBI	NC_018516.1	pBTHD789-1	Bacillus thuringiensis HD-789	354595
NCBI	NZ_CP018326.1	pLP12-2	Lactobacillus plantarum subsp. plantarum strain TS12	56111
NCBI	NZ_CP014614.1	pDRC3	Leuconostoc mesenteroides strain DRC1506	20314
NCBI	NZ_AEOY01000096.1	p2ABST2	Acinetobacter baumannii 3990	22160
NCBI	NC_004632.1	pDC3000B	[Pseudomonas syringae] pv. tomato str. DC3000	68438
NCBI	NC_012113.1	64b_cp32-7	Borrelia burgdorferi 64b	30098
NCBI	NZ_CP013159.1	unnamed8	Lactobacillus plantarum strain MF1298	10902
NCBI	NC_012556.1	pEC-IMPQ	Enterobacter cloacae	329140
NCBI	NZ_CP009871.1	pPSP-cd6	Pantoea sp. PSNIH2	75413
NCBI	NC_015900.1	pVF18	Lactococcus lactis subsp. lactis bv. diacetylactis	19250
NCBI	NZ_CP010174.1	B	Escherichia coli strain H8	107794
NCBI	NC_017035.1	Unknown	Pasteurella multocida subsp. multocida str. HN06	5438
NCBI	NC_010938.1	pSKPB18	Tetragenococcus halophilus	3399
NCBI	NZ_CM003313.1	pMRSN7339-2.3	Acinetobacter baumannii MRSN 7339	2378
NCBI	NZ_CP017361.1	pL125-7	Lactobacillus plantarum strain TMW 1.25	5049
NCBI	NC_018223.1	EFD32pB	Enterococcus faecalis D32	63052
NCBI	NZ_CP007651.1	pTC_N40607	Escherichia coli N40607	107380
NCBI	NC_006868.1	pCCK647	Pasteurella multocida 6647	5274
NCBI	NC_016836.1	pSfHH103b	Sinorhizobium fredii HH103	62765
NCBI	NZ_CP018738.1	pKp_Goe_641-3	Klebsiella pneumoniae strain Kp_Goe_121641	5336
NCBI	NZ_CP011666.1	pSMg1-2	Streptomyces sp. Mg1	136718
NCBI	NZ_CP021337.1	p95JB1B	Escherichia coli strain 95JB1	84327
NCBI	NC_013191.1	pAph03	Candidatus Accumulibacter phosphatis clade IIA str. UW-1	38235
NCBI	NC_021157.1	pSTU288-3	Salmonella enterica subsp. enterica serovar Typhimurium str. U288	4743
NCBI	NZ_AUYY01000011.1	p1_B2_267	Clostridium botulinum B2 267	21303
NCBI	NC_011030.1	pCASE1	Corynebacterium casei LMG S-19264	2498
NCBI	NC_012150.1	WI91-23_cp32-11	Borrelia burgdorferi WI91-23	31213
NCBI	NC_014957.1	pISOP01	Isosphaera pallida ATCC 43644	57146
NCBI	NC_017233.1	lp28-3	Borrelia afzelii PKo	23230
NCBI	NZ_CP017138.1	lp41	Borrelia miyamotoi strain CT13-2396	42243
NCBI	NZ_CP016005.1	pkk4	Burkholderia sp. KK1	576322
NCBI	NZ_CP009107.1	pO104_H21	Escherichia coli strain 94-3024	163755
NCBI	NZ_CM001481.1	pF262D	Clostridium perfringens F262	9268
NCBI	NZ_CP021651.1	p3-T1	Acidovorax sp. T1	57164
NCBI	NZ_CP021512.1	pAP1342-3	Acetobacter pasteurianus subsp. pasteurianus strain SRCM101342	260424
NCBI	NZ_CP015354.1	p120416	Bacillus thuringiensis strain MYBT18246	122138
NCBI	NC_020562.1	pISP1	Sphingomonas sp. MM-1	174601
NCBI	NZ_CP022710.1	pLBS01	Lactobacillus sakei strain WiKim0063	76548
NCBI	NC_005002.1	pB	Salmonella enterica subsp. enterica serovar Enteritidis	2013
NCBI	NC_019380.1	pR148	Aeromonas hydrophila	168278
NCBI	NZ_CP018990.1	pECAZ146_1	Escherichia coli strain Ecol_AZ146	153153
NCBI	NZ_CP010316.1	pAPEC-O78-ColV	Escherichia coli strain O78-789	146930
NCBI	NZ_CP021951.1	tig00000168_pilon	Klebsiella pneumoniae strain AR_0148	184185
NCBI	NZ_CP012962.1	Unknown	Rhodobacter sphaeroides strain MBTLJ-8	155142
NCBI	NZ_CP016722.1	pUC11C	Lactococcus lactis subsp. lactis strain UC11	19629
NCBI	NC_015461.1	pUMN179	Gallibacterium anatis UMN179	6903
NCBI	NZ_CP008997.1	pXAC64	Xanthomonas citri subsp. citri strain MN12	64633
NCBI	NC_011370.1	pRLG203	Rhizobium leguminosarum bv. trifolii WSM2304	313159
NCBI	NC_009431.1	pRSPA03	Rhodobacter sphaeroides ATCC 17025	123706
NCBI	NC_019243.1	p05PLY-1	Periwinkle leaf yellowing phytoplasma	3935
NCBI	NZ_CP023379.1	p39	Escherichia coli strain 127	40165
NCBI	NC_006672.1	pGOX1	Gluconobacter oxydans 621H	165519
NCBI	NZ_CP017959.1	unnamed5	Lactobacillus plantarum strain C410L1	57604
NCBI	NC_008440.1	pDU1	Nostoc sp. PCC 7524	6453
NCBI	NZ_CM008167.1	pEC-592121_04	Escherichia coli strain 592121	1751
NCBI	NZ_AFDO01000021.1	pNaval17-13	Acinetobacter baumannii Naval-17	12818
NCBI	NZ_CP012442.1	ISMMS_VRE3_p2	Enterococcus faecium strain ISMMS_VRE_3	72531
NCBI	NC_012208.1	pYe4449-1	Yersinia enterocolitica	4421
NCBI	NC_006825.1	pBS608	Bacillus subtilis	6707
NCBI	NZ_CP020069.1	unitig_2	Klebsiella pneumoniae strain AR_0068	216058
NCBI	NC_021922.1	pSFyv	Shigella flexneri strain HN006	6951
NCBI	NC_020988.1	pSotonF3	Chlamydia trachomatis F/SotonF3	7602
NCBI	NC_017388.1	pEP3	Erwinia pyrifoliae DSM 12163 complete	3115
NCBI	NZ_CP015042.1	pRGUI03	Rhodovulum sp. P5	54102
NCBI	NZ_CP009169.1	p1303_5	Escherichia coli 1303	4739
NCBI	NC_021668.1	PsyG_26	Psychrobacter sp. G	26461
NCBI	NC_011647.1	cp32-1	Borrelia afzelii ACA-1	31926
NCBI	NZ_CP012659.1	pMK05	Lactobacillus plantarum strain HFC8	42452
NCBI	NC_022590.1	pAP13	Brevibacterium sp. Ap13	91156
NCBI	NZ_CP010016.1	Unknown	Burkholderia thailandensis 34	331052
NCBI	NC_010868.1	pNL750149	Neisseria lactamica	2016
NCBI	NZ_LN609303.1	1P	Acetobacter ghanensis genome assembly Acetobacter ghanensis,	163511
NCBI	NZ_CP021365.1	pACP3.3	Acidovorax sp. P3	73820
NCBI	NC_004703.1	p5482	Bacteroides thetaiotaomicron VPI-5482	33511
NCBI	NC_008356.1	pLNU6	Staphylococcus epidermidis	2584
NCBI	NZ_CP012462.1	ISMMS_VRE7_p2	Enterococcus faecium strain ISMMS_VRE_7	78677
NCBI	NZ_CP018825.1	p2_ISMMS_VRE12	Enterococcus faecium strain ISMMS_VRE_12	45888
NCBI	NC_011136.1	pLR1	Lactobacillus plantarum	2097
NCBI	NZ_CM003639.1	CpecL1	Chlamydia pecorum strain L1	7657
NCBI	NC_016969.1	pGL1	Lactococcus garvieae 21881	4602
NCBI	NZ_CM002749.1	pHMPREF1625_1	Staphylococcus aureus 880	21030
NCBI	NZ_CP010090.1	pBMB426	Bacillus thuringiensis serovar galleriae strain HD-29	432373
NCBI	NZ_CP015786.1	cp32-6	Borrelia mayonii strain MN14-1420	17262
NCBI	NC_019731.1	pOSC7112.03	Oscillatoria nigro-viridis PCC 7112	153085
NCBI	NZ_CP013633.1	pRspN324c	Rhizobium sp. N324	453534
NCBI	NC_019221.1	pHW4594	Rahnella aquatilis CIP 78.65 = ATCC 33071	7079
NCBI	NC_007431.1	pSVH1	Streptomyces venezuelae pSVH1	12834
NCBI	NZ_CP010356.1	pXBB1-5	Acinetobacter johnsonii XBB1	14141
NCBI	NZ_CP020386.1	pRSMBB	Rhodovulum sp. MB263	64182
NCBI	NZ_CP008829.1	pKPN-498	Klebsiella pneumoniae subsp. pneumoniae KPNIH1	247309
NCBI	NZ_CP013135.1	pHJ52	Rickettsia rhipicephali strain HJ#5	13846
NCBI	NZ_CP013110.1	C	Sinorhizobium americanum strain CFNEI 73	2208611
NCBI	NZ_CP021952.1	tig00000169_pilon	Klebsiella pneumoniae strain AR_0148	178870
NCBI	NC_019267.1	pRIO-5	Serratia marcescens	13144
NCBI	NZ_CP018944.1	pEC224_4	Escherichia coli strain Ecol_224	27522
NCBI	NZ_CP020606.1	pLd2	Lactococcus lactis subsp. lactis bv. diacetylactis strain FM03	15437
NCBI	NZ_FO082822.1	NT26_p2	Rhizobium sp. NT-26	15652
NCBI	NZ_CP018678.1	pALAC4-1	Acinetobacter baumannii strain LAC4	8122
NCBI	NZ_CP019238.1	unnamed2	Rhodoferax sp. DCY110	72296
NCBI	NC_009350.1	5	Aeromonas salmonicida subsp. salmonicida A449	157315
NCBI	NZ_CP016536.1	pPA05-2	Planococcus antarcticus DSM 14505	8187
NCBI	NZ_CM003366.1	CFH1-7plasmid2	Pantoea ananatis strain CFH 7-1	147711
NCBI	NZ_CP022078.1	unnamed1	Campylobacter jejuni subsp. jejuni strain FDAARGOS_265	47415
NCBI	NZ_CP021826.1	accessoryA	Sinorhizobium meliloti strain KH35c	181002
NCBI	NC_019268.1	pNDM-BJ01	Acinetobacter lwoffii	47951
NCBI	NZ_CP016731.1	pJM4C	Lactococcus lactis subsp. cremoris strain JM4	6017
NCBI	NC_020952.1	pL1224	Chlamydia trachomatis L1/224	7609
NCBI	NZ_CM007809.1	pVN0288	Vibrio vulnificus strain VN-0288	13218
NCBI	NZ_CP006638.1	PCN061p2	Escherichia coli PCN061	5838
NCBI	NC_017120.1	pAPA03-050	Acetobacter pasteurianus IFO 3283-03	3080
NCBI	NZ_CP016921.1	unnamed2	Klebsiella pneumoniae isolate 11	287419
EBI	L42455.1	Unknown	Neurospora intermedia Harbin-1	4148
EBI	GQ900406.1	SAP048A	Staphylococcus aureus	27723
EBI	AY126018.1	Unknown	Bacillus thuringiensis unknown	7025
EBI	AF440277.1	pMD5057	Lactobacillus plantarum	11059
EBI	EF382672.1	pK29	Klebsiella pneumoniae strain NK29	274169
EBI	AM886279.1	pUCH-1	Chlamydia trachomatis pUCH-1	7625
EBI	D88538.1	pRS64-2	Thanatephorus cucumeris linear DNA	2925
EBI	HE603111.1	pHUSEC41-2	Escherichia coli HUSEC41	74791
EBI	AF503772.1	pAMalpha1	Enterococcus faecalis	9922
EBI	GQ470395.1	pSN11/00Kan	Salmonella enterica subsp. enterica serovar Newport strain SN11/00	5793
EBI	GU195642.1	pLP2140	Lactobacillus plantarum strain S1	2176
EBI	FJ876827.1	pKF3-140	Klebsiella pneumoniae strain KF3	149873
EBI	X15670.1	pTB913	Bacillus	4601
EBI	EF488047.1	pCR2	Corynebacterium renale	3249
EBI	EU195449.1	pKP96	Klebsiella pneumoniae strain KP96	68981
EBI	CP000063.1	pAYWB-II	Aster yellows witches&apos;-broom phytoplasma AYWB	4076
EBI	EU362917.1	pFR12	Bacillus thuringiensis strain INTA-FR7-4	12297
EBI	EU675685.1	pSP70	Escherichia coli strain 86-24 serotype O157:H7	3362
EBI	DQ115388.2	pOU1115	Salmonella enterica subsp. enterica serovar Dublin serovar Dublin	75833
